ProjectName,Is ML producer,where,keyword,line_number,libraries,keywords
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,159,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,209,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,263,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,321,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,386,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,438,torch,forward(
AhmedImtiazPrio/Keras-AudioDataGenerator,Yes,../repos/repos2/AhmedImtiazPrio/Keras-AudioDataGenerator/AudioDataGenerator.py,,340,keras,.fit(
AhmedImtiazPrio/Keras-AudioDataGenerator,Yes,../repos/repos2/AhmedImtiazPrio/Keras-AudioDataGenerator/AudioDataGenerator.py,,348,keras,.fit(
AhmedImtiazPrio/Keras-AudioDataGenerator,Yes,../repos/repos2/AhmedImtiazPrio/Keras-AudioDataGenerator/AudioDataGenerator.py,,358,keras,.fit(
AhmedImtiazPrio/Keras-AudioDataGenerator,Yes,../repos/repos2/AhmedImtiazPrio/Keras-AudioDataGenerator/AudioDataGenerator.py,,426,keras,.fit(
abdullahselek/koolsla,Yes,../repos/repos2/abdullahselek/koolsla/koolsla/tfidf.py,,28,sklearn,.fit_transform(
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/kerasmodels/retrain.py,,353,keras,.fit_generator
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/kerasmodels/retrain.py,,392,keras,.fit_generator
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/Jpg2TFRecords.py,,41,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/Jpg2TFRecords.py,,44,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/Jpg2TFRecords.py,,52,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/Jpg2TFRecords.py,,54,tensorflow,.train.
921kiyo/3d-dl,Yes,../repos/repos2/921kiyo/3d-dl/Planning/Jpg2TFRecords.py,,71,tensorflow,.train.
