ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
nonamestreet/weixin_public_corpus,ID1,Tool,563.0,1468016.0,165.0,19.0,1.0,3184.0,0.0065157750342935,1.0
northwesternmutual/ai-challenge,ID1,Tool,6.0,401.0,2.0,127.0,3.0,3017.0,0.0554343081623745,3.0
nschaetti/EchoTorch,ID1,Tool,433.0,61631.0,113.0,705.0,1.0,2849.0,0.2735739231664726,2.0
ntedgi/cld3-kotlin,ID1,Tool,20.0,4713.0,3.0,66.0,2.0,2066.0,0.0392623438429506,2.0
NThakur20/DeepLearningWithKeras,ID1,Tool,9.0,172.0,3.0,26.0,1.0,2097.0,0.0205533596837944,1.0
NVIDIA/DALI,ID1,Tool,4923.0,385992.0,603.0,3572.0,30.0,2428.0,1.6483617904937702,87.0
NVIDIA/Dataset_Utilities,ID1,Tool,126.0,153.0,22.0,15.0,2.0,2387.0,0.0070754716981132,2.0
NVIDIA/DIGITS,ID1,Tool,4113.0,51154.0,1378.0,1613.0,30.0,3600.0,0.489232635729451,42.0
nyu-mll/jiant,ID1,Tool,1610.0,4532.0,292.0,1930.0,30.0,2411.0,0.8976744186046511,46.0
obokaman-com/stock-forecast,ID1,Tool,83.0,19591.0,20.0,52.0,3.0,2686.0,0.0230598669623059,3.0
ocraft/ocraft-s2client,ID1,Tool,55.0,17221.0,15.0,287.0,9.0,2625.0,0.1246200607902735,9.0
oeway/ImJoy,ID1,Tool,176.0,279400.0,36.0,1803.0,8.0,2411.0,0.8769455252918288,8.0
off99555/superkeras,ID1,Tool,9.0,93.0,7.0,105.0,1.0,2227.0,0.0686723348593852,1.0
OGFris/GoStats,ID1,Tool,20.0,34.0,3.0,23.0,1.0,2377.0,0.0122797650827549,1.0
OlafenwaMoses/ImageAI,ID1,Tool,8412.0,63626.0,2167.0,385.0,16.0,2502.0,0.1717983043284248,16.0
olami-developers/olami-android-client-sdk,ID1,Tool,11.0,534.0,4.0,30.0,0.0,2757.0,0.014018691588785,1.0
